"iter","draw","step","Corley_adeno_prev_male_50_54","Corley_adeno_prev_male_55_59","Corley_adeno_prev_male_60_64","Corley_adeno_prev_male_65_69","Corley_adeno_prev_male_70_74","Corley_adeno_prev_male_75plus","Corley_adeno_prev_fem_50_54","Corley_adeno_prev_fem_55_59","Corley_adeno_prev_fem_60_64","Corley_adeno_prev_fem_65_69","Corley_adeno_prev_fem_70_74","Corley_adeno_prev_fem_75plus","UKFSS_screen_det_crc_male","UKFSS_screen_det_crc_fem","SEER_inc_colon_fem_20_49","SEER_inc_colon_fem_50_59","SEER_inc_colon_fem_60_69","SEER_inc_colon_fem_70_84","SEER_inc_colon_fem_85_100","SEER_inc_colon_male_20_49","SEER_inc_colon_male_50_59","SEER_inc_colon_male_60_69","SEER_inc_colon_male_70_84","SEER_inc_colon_male_85_100","SEER_inc_rectal_fem_20_49","SEER_inc_rectal_fem_50_59","SEER_inc_rectal_fem_60_69","SEER_inc_rectal_fem_70_84","SEER_inc_rectal_fem_85_100","SEER_inc_rectal_male_20_49","SEER_inc_rectal_male_50_59","SEER_inc_rectal_male_60_69","SEER_inc_rectal_male_70_84","SEER_inc_rectal_male_85_100","Pickhardt_pct_adeno_lt_6mm","Pickhardt_pct_adeno_6_to_lt10mm","Pickhardt_pct_adeno_10plusmm","Church_pct_crc_6_to_lt10mm","Church_pct_crc_10plusmm","Lieberman_pct_crc_6_to_lt10mm","Lieberman_pct_crc_10plusmm","actual_iter"
1,5481,0,0.3246,0.3428,0.3701,0.3883,0.4036,0.4228,0.2241,0.2475,0.2583,0.2753,0.3005,0.3126,0.004,0.003,1e-04,7e-04,0.0014,0.0024,0.0036,1e-04,7e-04,0.0016,0.0026,0.0047,0,3e-04,5e-04,6e-04,0.0011,0,4e-04,9e-04,0.0011,0.0014,0.552,0.2787,0.1693,0.0075,0.0333,0.0081,0.0534,1
1,5483,0,0.2513,0.2731,0.2909,0.3185,0.3276,0.3544,0.1712,0.1858,0.1962,0.2215,0.229,0.2511,0.0021,0.0013,0,3e-04,7e-04,0.0012,0.0023,0,3e-04,8e-04,0.0014,0.0025,0,1e-04,2e-04,3e-04,7e-04,0,2e-04,4e-04,7e-04,9e-04,0.5556,0.2878,0.1566,0.0054,0.0269,0.0053,0.0375,1
1,5489,0,0.2991,0.3253,0.355,0.3716,0.3888,0.4143,0.1986,0.2235,0.242,0.2609,0.2783,0.2914,0.0028,0.0016,1e-04,7e-04,0.0011,0.0022,0.0031,1e-04,7e-04,0.0016,0.0027,0.0043,0,2e-04,3e-04,3e-04,6e-04,0,3e-04,4e-04,7e-04,0.001,0.5983,0.2697,0.132,0.0093,0.0326,0.0107,0.0497,1
1,5490,0,0.2474,0.2639,0.2927,0.3069,0.3214,0.3436,0.1588,0.1782,0.1901,0.2018,0.2255,0.235,0.0037,0.0018,0,3e-04,6e-04,0.0012,0.002,0,4e-04,9e-04,0.0017,0.0026,0,2e-04,3e-04,6e-04,7e-04,0,5e-04,8e-04,0.001,9e-04,0.5676,0.2598,0.1726,0.0081,0.0363,0.0077,0.0496,1
1,5502,0,0.2509,0.2749,0.2939,0.3139,0.3319,0.3536,0.1643,0.1841,0.195,0.2145,0.2331,0.2502,0.0023,0.0018,1e-04,6e-04,0.0013,0.0019,0.0031,1e-04,6e-04,0.0014,0.0024,0.0037,9.585e-06,1e-04,3e-04,4e-04,6e-04,0,2e-04,5e-04,7e-04,8e-04,0.5989,0.2299,0.1712,0.0078,0.0404,0.0078,0.0542,1
1,5510,0,0.284,0.3069,0.3213,0.3424,0.3532,0.3649,0.1885,0.2068,0.224,0.2358,0.2463,0.2583,0.0032,0.0022,0,5e-04,0.0011,0.002,0.0024,0,5e-04,0.0013,0.0025,0.0034,0,3e-04,4e-04,6e-04,8e-04,0,4e-04,8e-04,0.001,0.0011,0.5627,0.2638,0.1735,0.0085,0.0354,0.0085,0.0529,1
1,5526,0,0.2604,0.282,0.3058,0.324,0.3426,0.3688,0.1792,0.194,0.2137,0.2229,0.2453,0.2637,0.0033,0.0024,1e-04,6e-04,0.0013,0.0019,0.003,1e-04,6e-04,0.0014,0.0022,0.0037,0,2e-04,3e-04,5e-04,4e-04,0,4e-04,5e-04,8e-04,9e-04,0.5729,0.2702,0.1569,0.0088,0.0411,0.0093,0.0563,1
1,5527,0,0.3294,0.3542,0.3752,0.3985,0.4123,0.4315,0.2265,0.2447,0.2585,0.2804,0.2902,0.3111,0.0048,0.003,1e-04,9e-04,0.0016,0.0026,0.0033,1e-04,8e-04,0.0018,0.003,0.0041,0,3e-04,7e-04,9e-04,0.0013,1e-04,6e-04,0.001,0.0015,0.0016,0.58,0.253,0.167,0.008,0.0403,0.0083,0.0593,1
1,5534,0,0.2474,0.2632,0.2844,0.3068,0.3209,0.3383,0.1569,0.1711,0.1854,0.2029,0.2126,0.2229,0.0027,0.0018,1e-04,6e-04,0.0011,0.0016,0.0021,1e-04,7e-04,0.0013,0.0021,0.0031,9.5871e-06,2e-04,3e-04,4e-04,6e-04,0,3e-04,5e-04,7e-04,7e-04,0.5608,0.2591,0.1801,0.0083,0.0341,0.009,0.051,1
1,5539,0,0.2879,0.3151,0.3292,0.352,0.3597,0.373,0.183,0.2063,0.224,0.2365,0.2409,0.2521,0.0041,0.0029,0,5e-04,9e-04,0.0017,0.0028,0,5e-04,0.0013,0.0023,0.0031,0,3e-04,5e-04,8e-04,8e-04,1e-04,6e-04,0.001,0.0015,0.0016,0.5631,0.2654,0.1715,0.0089,0.0374,0.0091,0.0546,1
